Product Name,Current Date,Current Price,Old Date,Old Price,Category
Faber-Castell 0.7 mm 2B Kalem Ucu,09/06/2023,7,10/06/2022,4,kursun-kalem-ucu-min
Faber-Castell Grip Min Açık Mavi 0.5 mm 2B 60 mm 120'li Uç,09/06/2023,30,14/06/2022,23,kursun-kalem-ucu-min
Tombow 0.5 mm 2B 12'li Mekanik Kurşun Kalem Ucu,09/06/2023,24,03/07/2022,31,kursun-kalem-ucu-min
Hairens 3555 2500W Profesyonel Fön Makinesi,09/06/2023,302,09/06/2022,239,sac-kurutma-makineleri
Ventoso V5 SILEX5000 Siyah Profesyonel Fön Makinesi,09/06/2023,488,10/06/2022,382,sac-kurutma-makineleri
Paşabahçe 55029 Tekli Kupa Bardak,09/06/2023,17,19/06/2022,15,kupa
Porland Hope 130 cc Kupa,09/06/2023,115,10/06/2022,62,kupa
Kütahya Porselen Toledo Mug Kupa,09/06/2023,84,20/06/2022,55,kupa
Rayban RB4165-622-T3 Unisex Güneş Gözlüğü,09/06/2023,1199,02/07/2022,2100,unisex-gunes-gozlukleri
Kumtel LX-9645 70 lt Set Üstü Fırın Siyah,09/06/2023,2689,11/06/2022,1288,mini-midi-firinlar
Samsung MS23J5133AT/TR Mikrodalga Fırın,09/06/2023,2720,10/06/2022,1823,mikrodalga-firinlar
Arçelik MAK 2020 Ankastre Mikrodalga,09/06/2023,1499,10/06/2022,1069,ankastre-mikrodalga-firinlar
Samsung GE83X Mikrodalga Fırın,09/06/2023,2549,10/06/2022,2069,mikrodalga-firinlar
Gıpta Pastoral Spiralli Plastik Kapak A4 120 Yaprak Çizgili Defter,09/06/2023,59,10/06/2022,38,defter
Alex Schoeller Alx-9277 12x12 cm 80 Yaprak 140 gr Kırmızı Sketch Book,09/06/2023,75,26/07/2022,73,defter
Color Liva A4 PP 6'lı 80 Yaprak Çizgili Kapak Zımbalı Defter,09/06/2023,159,03/07/2022,139,defter
Apple Magsafe Battery Pack,09/06/2023,2254,20/06/2022,1899,cep-telefonu-sarj-cihazi
Samsung EP-TA800N Siyah TypeC 25W Şarj Aleti,09/06/2023,217,12/06/2022,171,cep-telefonu-sarj-cihazi
Samsung EP-TA800N Beyaz TypeC 25W Kablosuz Hızlı Şarj Aleti,09/06/2023,199,17/06/2022,179,cep-telefonu-sarj-cihazi
Xiaomi MDY-11-EZ Type C 5A 33W Note 10/10 Pro Turbo Şarj Aleti,09/06/2023,211,15/06/2022,110,cep-telefonu-sarj-cihazi
Philips DLP1710CB Siyah 10000 mAh Powerbank,09/06/2023,257,09/06/2022,169,tasinabilir-sarj-cihazi-powerbank
Xiaomi 20000 mAh 2.1A - 3A Çift Çıkışlı Taşınabilir Hızlı Şarj Cihazı Beyaz,09/06/2023,690,10/06/2022,159,tasinabilir-sarj-cihazi-powerbank
Ttec 2BB184S 20.000mAh PowerSlim Powerbank,09/06/2023,429,08/07/2022,415,tasinabilir-sarj-cihazi-powerbank
Speck Smartshell Macbook Air 13 Kılıf,09/06/2023,151,19/06/2022,149,cep-telefonu-kilifi
